자치구,동,주택 수 합계,단독주택,다가구주택,영업겸용,아파트,연립주택,다세대주택,비거주용건물내주택
관악구,은천동,10344,435,600,148,6053,297,2703,108
관악구,인헌동,6679,90,658,156,1319,692,3669,95
관악구,조원동,4688,44,656,197,2077,106,1472,136
관악구,중앙동,3298,298,585,128,896,157,1163,71
관악구,청룡동,6177,226,1260,200,2172,535,1675,109
관악구,청림동,5267,157,296,34,4390,110,256,24
관악구,행운동,6760,130,949,136,3454,106,1872,113
광진구,광장동,10213,46,126,47,9003,481,460,50
광진구,구의1동,4389,34,939,222,264,205,2595,130
광진구,구의2동,5815,69,879,146,450,713,3471,87
광진구,구의3동,8219,19,352,102,5649,412,1639,46
광진구,군자동,4038,68,1253,199,779,277,1364,98
광진구,능동,1954,67,718,74,22,72,973,28
광진구,소계,79393,809,13455,2770,29880,4434,26561,1484
광진구,자양1동,4282,46,1034,249,527,202,2119,105
광진구,자양2동,6331,16,704,224,2773,283,2245,86
광진구,자양3동,8268,32,370,69,7088,271,371,67
광진구,자양4동,4686,91,1575,273,1405,437,780,125
광진구,중곡1동,2823,46,907,260,106,101,1295,108
광진구,중곡2동,4177,63,1029,249,300,119,2280,137
광진구,중곡3동,3269,71,1025,199,444,48,1363,119
광진구,중곡4동,6545,103,1346,222,314,680,3750,130
광진구,화양동,4384,38,1198,235,756,133,1856,168
구로구,가리봉동,2243,108,862,105,114,104,902,48
구로구,개봉1동,9023,99,1142,224,4833,425,2242,58
구로구,개봉2동,10476,44,373,103,6526,90,3308,32
구로구,개봉3동,6280,90,496,125,2267,108,3118,76
구로구,고척1동,7225,186,340,44,5581,110,910,54
